time;logger;level;message;exception
2012-01-12 21:32:04.3940;Raven.Database.Impl.DocumentCacher;Info;"MemoryCache Settings:
  PhysicalMemoryLimit = 99
  CacheMemoryLimit    = 2142240768
  PollingInterval     = 00:02:00";
2012-01-12 21:32:04.4640;Raven.Storage.Esent.TransactionalStorage;Info;"Esent Settings:
  MaxVerPages      = 32768
  CacheSizeMax     = 262144
  DatabasePageSize = 4096";
2012-01-12 21:32:10.0940;Raven.Database.DocumentDatabase;Debug;Delete a document with key: Raven/Backup/Status and etag ;
2012-01-12 21:32:10.0940;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Backup/Status' was not found, and considered deleted;
2012-01-12 21:32:10.1140;Raven.Database.Indexing.WorkContext;Debug;Incremented work counter to 1 - step 1/2;
2012-01-12 21:32:10.1140;Raven.Database.Indexing.WorkContext;Debug;Incremented work counter to 2 - step 2/2;
2012-01-12 21:32:10.3240;Raven.Database.Indexing.WorkContext;Debug;Not work was found, workerWorkCounter: 2, currentWorkCounter: 2, will wait for additional work;
2012-01-12 21:32:10.4740;Raven.Database.Indexing.WorkContext;Debug;Not work was found, workerWorkCounter: 2, currentWorkCounter: 2, will wait for additional work;
2012-01-12 21:32:10.4740;Raven.Database.Indexing.WorkContext;Debug;Not work was found, workerWorkCounter: 2, currentWorkCounter: 2, will wait for additional work;
2012-01-12 21:32:10.4740;Raven.Database.Indexing.WorkContext;Debug;Not work was found, workerWorkCounter: 2, currentWorkCounter: 2, will wait for additional work;
2012-01-12 21:33:32.2281;Raven.Database.Storage.IndexDefinitionStorage;Info;"New index Raven%2fDocumentsByEntityName:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_Raven_2fDocumentsByEntityName : AbstractViewGenerator
{
	public Index_Raven_2fDocumentsByEntityName()
	{
		this.ViewText = @""from doc in docs 
let Tag = doc[""""@metadata""""][""""Raven-Entity-Name""""]
where  Tag != null 
select new { Tag, LastModified = (DateTime)doc[""""@metadata""""][""""Last-Modified""""] };
"";
		this.AddMapDefinition(docs => from doc in docs
			let Tag = doc[""@metadata""][""Raven-Entity-Name""]
			where Tag != null
			select new { Tag, LastModified = (DateTime)doc[""@metadata""][""Last-Modified""], __document_id = doc.__document_id });
		this.AddField(""LastModified"");
		this.AddField(""__document_id"");
		this.AddField(""Tag"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}

Compiled to:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_Raven_2fDocumentsByEntityName : AbstractViewGenerator
{
	public Index_Raven_2fDocumentsByEntityName()
	{
		this.ViewText = @""from doc in docs 
let Tag = doc[""""@metadata""""][""""Raven-Entity-Name""""]
where  Tag != null 
select new { Tag, LastModified = (DateTime)doc[""""@metadata""""][""""Last-Modified""""] };
"";
		this.AddMapDefinition(docs => from doc in docs
			let Tag = doc[""@metadata""][""Raven-Entity-Name""]
			where Tag != null
			select new { Tag, LastModified = (DateTime)doc[""@metadata""][""Last-Modified""], __document_id = doc.__document_id });
		this.AddField(""LastModified"");
		this.AddField(""__document_id"");
		this.AddField(""Tag"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}
";
2012-01-12 21:33:33.1881;Raven.Database.Indexing.IndexStorage;Info;Creating index Raven/DocumentsByEntityName with encoded name Raven/DocumentsByEntityName;
2012-01-12 21:33:33.6281;Raven.Database.Indexing.Index.Indexing;Debug;Creating index for Raven/DocumentsByEntityName;
2012-01-12 21:33:33.6781;Raven.Database.Indexing.WorkContext;Debug;Incremented work counter to 3 - step 1/2;
2012-01-12 21:33:33.6781;Raven.Database.Indexing.WorkContext;Debug;Incremented work counter to 4 - step 2/2;
2012-01-12 21:33:33.6781;Raven.Database.Indexing.WorkContext;Debug;Not work was found, workerWorkCounter: 4, currentWorkCounter: 4, will wait for additional work;
2012-01-12 21:33:33.6781;Raven.Database.Indexing.WorkContext;Debug;Not work was found, workerWorkCounter: 4, currentWorkCounter: 4, will wait for additional work;
2012-01-12 21:33:33.7761;Raven.Database.Indexing.WorkContext;Debug;Not work was found, workerWorkCounter: 4, currentWorkCounter: 4, will wait for additional work;
2012-01-12 21:33:33.7761;Raven.Database.Indexing.WorkContext;Debug;Not work was found, workerWorkCounter: 4, currentWorkCounter: 4, will wait for additional work;
2012-01-12 21:33:36.8894;Raven.Database.Server.HttpServer;Debug;Request #   1: GET     -    15 ms - <default>  - 200 - /docs?pageSize=0&noCache=716514865;
2012-01-12 21:33:37.0014;Raven.Database.Server.HttpServer;Debug;Request #   2: GET     -     0 ms - <default>  - 200 - /docs?pageSize=0&noCache=-659268479;
2012-01-12 21:33:37.0424;Raven.Database.Server.HttpServer;Debug;Request #   3: GET     -     0 ms - <default>  - 200 - /docs?pageSize=0&noCache=486380724;
2012-01-12 21:33:37.0664;Raven.Database.Server.HttpServer;Debug;Request #   4: GET     -    24 ms - <default>  - 200 - /license/status?noCache=-1451326910;
2012-01-12 21:33:37.0664;Raven.Database.Server.HttpServer;Debug;Request #   5: GET     -    65 ms - <default>  - 200 - /build/version?noCache=1977155970;
2012-01-12 21:33:37.3635;Raven.Database.Server.HttpServer;Debug;Request #   6: GET     -   246 ms - <default>  - 200 - /stats?noCache=-140674317;
2012-01-12 21:33:49.5865;Raven.Database.Server.HttpServer;Debug;Request #   7: GET     -    53 ms - <default>  - 200 - /terms/Raven/DocumentsByEntityName?field=Tag&fromValue=&pageSize=100&noCache=443273696;
2012-01-12 21:37:01.5382;Raven.Database.Server.HttpServer;Debug;Request #   8: GET     -    35 ms - <default>  - 200 - /stats?noCache=284407506;
